date,dewpoint_temperature_2m,surface_pressure,surface_solar_radiation_downwards_sum,temperature_2m,u_component_of_wind_10m,v_component_of_wind_10m,localidad,lat_lon
2025-05-22,278.5219249725342,102079.24495442708,9174464.0,282.7749303181966,-1.0476729075113933,-1.77354900042216,Bahía Blanca,"-38.7196, -62.2683"
2025-05-23,279.76751645406085,101530.98404947917,7404632.0,285.1545550028483,0.25612322489420575,-6.259942293167114,Bahía Blanca,"-38.7196, -62.2683"
2025-05-24,280.81921641031903,101584.89957682292,10142444.0,286.85369364420575,1.8348763783772786,-4.080740610758464,Bahía Blanca,"-38.7196, -62.2683"
2025-05-25,283.1676648457845,101284.23681640625,9222736.0,286.31636174519855,-0.2798322041829427,-5.509899099667867,Bahía Blanca,"-38.7196, -62.2683"
2025-05-26,285.0532391866048,100864.7734375,4101308.0,288.1005458831787,1.6371905008951824,-2.1760546366373696,Bahía Blanca,"-38.7196, -62.2683"
2025-05-27,279.61158116658527,101379.23697916667,8065932.0,283.7659505208333,3.225503921508789,4.890239715576172,Bahía Blanca,"-38.7196, -62.2683"
2025-05-28,272.6679089864095,102270.19124348958,10234296.0,279.92423756917316,4.159574508666992,2.0297889709472656,Bahía Blanca,"-38.7196, -62.2683"
2025-05-29,275.0628433227539,101907.62060546875,9734666.0,282.4053961435954,2.6640828450520835,-3.756893793741862,Bahía Blanca,"-38.7196, -62.2683"
2025-05-30,276.84165891011554,101420.19498697917,9675170.0,283.9106451670329,3.4331239064534507,-2.3287225564320884,Bahía Blanca,"-38.7196, -62.2683"
2025-05-31,275.13110796610516,101756.041015625,9922986.0,281.11646970113117,3.098337173461914,-0.8642210165659586,Bahía Blanca,"-38.7196, -62.2683"
2025-06-01,273.54675420125324,101579.70882161458,9408920.0,281.7876688639323,3.5906174977620444,-4.469058116277059,Bahía Blanca,"-38.7196, -62.2683"
2025-06-02,278.09687487284344,101196.63020833333,8367728.0,285.19845898946124,3.6858596801757812,-3.5864466031392417,Bahía Blanca,"-38.7196, -62.2683"
2025-06-03,280.2722765604655,100898.56868489583,7817888.0,285.87368901570636,2.1353225708007812,-4.604859352111816,Bahía Blanca,"-38.7196, -62.2683"
2025-06-04,278.65256690979004,100707.52701822917,9324260.0,285.93084780375165,4.509164810180664,-1.346705675125122,Bahía Blanca,"-38.7196, -62.2683"
2025-06-05,274.47777938842773,101490.0205078125,9377540.0,281.81972249348956,2.136376659075419,-1.8249097267786663,Bahía Blanca,"-38.7196, -62.2683"
2025-06-06,276.2237606048584,101548.84016927083,9460432.0,282.1010157267253,0.6773382425308228,-1.43043049176534,Bahía Blanca,"-38.7196, -62.2683"
2025-06-07,278.5658181508382,101703.67203776042,9261032.0,281.1890519460042,-0.9541619618733724,0.230819304784139,Bahía Blanca,"-38.7196, -62.2683"
2025-06-08,280.47457631429035,102182.08235677083,5203588.0,282.1290531158447,-1.7564989725748699,0.2474826176961263,Bahía Blanca,"-38.7196, -62.2683"
2025-06-09,278.1308116912842,102080.23876953125,8634984.0,280.88980229695636,0.6815185546875,-3.3072500626246133,Bahía Blanca,"-38.7196, -62.2683"
2025-06-10,279.4914614359538,101836.18473307292,8959864.0,282.35372161865234,0.9624176025390625,-3.1419499715169272,Bahía Blanca,"-38.7196, -62.2683"
2025-06-11,280.1043580373128,101808.39176432292,8912644.0,284.4377784729004,-0.7878386179606119,-5.4528335730234785,Bahía Blanca,"-38.7196, -62.2683"
2025-06-12,277.54666964213055,101252.35319010417,8967736.0,284.48183886210126,-2.0690587361653647,-7.15018630027771,Bahía Blanca,"-38.7196, -62.2683"
2025-06-13,278.42786979675293,101239.51920572917,8619236.0,283.7888075510661,2.5674444834391275,-2.705311973889669,Bahía Blanca,"-38.7196, -62.2683"
2025-06-14,274.00749079386395,101595.77001953125,9186132.0,281.0739065806071,2.1981080373128257,-1.9799168904622395,Bahía Blanca,"-38.7196, -62.2683"
2025-06-15,273.63978576660156,100761.70068359375,5058420.0,282.68726476033527,1.4558455149332683,-6.602106769879659,Bahía Blanca,"-38.7196, -62.2683"
2025-06-16,276.55475934346515,100712.1865234375,7656372.0,284.5752995808919,3.165114720662435,-3.4967558781305947,Bahía Blanca,"-38.7196, -62.2683"
2025-06-17,276.1394322713216,101475.76806640625,8093040.0,280.9283955891927,1.8601538340250652,-1.0596923033396404,Bahía Blanca,"-38.7196, -62.2683"
2025-06-18,275.73812039693195,101950.02750651042,9033796.0,281.2113774617513,3.079767862955729,-1.7234261433283489,Bahía Blanca,"-38.7196, -62.2683"
2025-06-19,275.4216480255127,101755.96647135417,8973528.0,283.436087290446,3.8133265177408853,-4.784257094065349,Bahía Blanca,"-38.7196, -62.2683"
